ID,Năm,Loại chi,Chi chi tiết,Tên đơn vị,"Số tiền
  (triệu đồng)"
253,2004,Chi thường xuyên,Chi khác,Bộ Khoa học và Công nghệ,
254,2004,Chi chương trình mục tiêu,,Bộ Khoa học và Công nghệ,200
255,2004,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Tài nguyên và Môi trường,"138,447"
256,2004,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Tài nguyên và Môi trường,
257,2004,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Tài nguyên và Môi trường,"16,774"
258,2004,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Tài nguyên và Môi trường,
259,2004,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Tài nguyên và Môi trường,"34,949"
260,2004,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Tài nguyên và Môi trường,
261,2004,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Tài nguyên và Môi trường,539
262,2004,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Tài nguyên và Môi trường,"448,241"
263,2004,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Tài nguyên và Môi trường,"25,569"
264,2004,Chi thường xuyên,Chi trợ giá mặt hàng chính sách,Bộ Tài nguyên và Môi trường,180
265,2004,Chi thường xuyên,Chi khác,Bộ Tài nguyên và Môi trường,
266,2004,Chi chương trình mục tiêu,,Bộ Tài nguyên và Môi trường,"2,556"
267,2004,Chi đầu tư phát triển,Chi đầu tư xây dựng cơ bản,Bộ Bưu chính- Viễn thông,"40,295"
268,2004,Chi đầu tư phát triển,Chi ĐTPT khác,Bộ Bưu chính- Viễn thông,
269,2004,Chi thường xuyên,"Chi sự nghiệp Giáo dục, ĐT & DN",Bộ Bưu chính- Viễn thông,600
270,2004,Chi thường xuyên,Chi sự nghiệp Y tế,Bộ Bưu chính- Viễn thông,
271,2004,Chi thường xuyên,Chi sự nghiệp KHCN,Bộ Bưu chính- Viễn thông,"5,165"
272,2004,Chi thường xuyên,"Chi VHTT, PHTH, TDTT",Bộ Bưu chính- Viễn thông,
273,2004,Chi thường xuyên,Chi đảm bảo xã hội,Bộ Bưu chính- Viễn thông,
274,2004,Chi thường xuyên,Chi sự nghiệp Kinh tế,Bộ Bưu chính- Viễn thông,"1,208"
275,2004,Chi thường xuyên,"Chi quản lý hành chính, Đảng, đoàn thể",Bộ Bưu chính- Viễn thông,"16,615"
